variable,type,explanation
aktenzeichen,String,Das amtliche Aktenzeichen im Format [senatsnummer] [registerzeichen] [eingangsnummer] / [eingangsjahr] [ggf. zusatz\_az]
ecli,String,"European Case Law Identifier (ECLI) der Entscheidung. Die ECLI wurde von mir berechnet und kann in Einzelfällen von der offiziell vergebenen ECLI abweichen. Das ist vor allem dann der Fall, wenn eine am gleichen Tag Entscheidungen mit dem gleichen Aktenzeichen ergangen sind und von mir eine Kollisionsnummer außer 0 vergeben wurde."
bemerkung,String,"Bemerkung zur Entscheidung, wie sie in der Datenbank des BPatG dokumentiert ist."
berichtigung,Logisch,Ob das Dokument eine Berichtigung darstellt. Entweder \enquote{TRUE} oder \enquote{FALSE}. Aus der Variable \enquote{bemerkung} mit regular expressions extrahiert.
wirkung,Logisch,Ob die Entscheidung Wirkung entfaltet. Entweder \enquote{TRUE} oder \enquote{FALSE}. Aus der Variable \enquote{bemerkung} mit regular expressions extrahiert.
ruecknahme,Logisch,Ob die Klage zurückgenommen wurde. Entweder \enquote{TRUE} oder \enquote{FALSE}. Aus der Variable \enquote{bemerkung} mit regular expressions extrahiert.
erledigung,Logisch,Ob die Entscheidung erledigt ist. Entweder \enquote{TRUE} oder \enquote{FALSE}. Aus der Variable \enquote{bemerkung} mit regular expressions extrahiert.
zeichen,Natürliche Zahl,(Nur CSV-Datei) Die Anzahl Zeichen eines Dokumentes.
tokens,Natürliche Zahl,(Nur CSV-Datei) Die Anzahl Tokens (beliebige Zeichenfolge getrennt durch whitespace) eines Dokumentes. Diese Zahl kann je nach Tokenizer und verwendeten Einstellungen erheblich schwanken. Für diese Berechnung wurde eine reine Tokenisierung ohne Entfernung von Inhalten durchgeführt. Benutzen Sie diesen Wert eher als Anhaltspunkt für die Größenordnung denn als exakte Aussage und führen sie ggf. mit ihrer eigenen Software eine Kontroll-Rechnung durch.
typen,Natürliche Zahl,(Nur CSV-Datei) Die Anzahl \emph{einzigartiger} Tokens (beliebige Zeichenfolge getrennt durch whitespace) eines Dokumentes. Diese Zahl kann je nach Tokenizer und verwendeten Einstellungen erheblich schwanken. Für diese Berechnung wurde eine reine Tokenisierung und Typenzählung ohne Entfernung von Inhalten durchgeführt. Benutzen Sie diesen Wert eher als Anhaltspunkt für die Größenordnung denn als exakte Aussage und führen sie ggf. mit ihrer eigenen Software eine Kontroll-Rechnung durch.
saetze,Natürliche Zahl,(Nur CSV-Datei) Die Anzahl Sätze. Die Definition entspricht in etwa dem üblichen Verständnis eines Satzes. Die Regeln für die Bestimmung von Satzanfang und Satzende sind im Detail allerdings sehr komplex und in \enquote{Unicode Standard: Annex No 29} beschrieben. Diese Zahl kann je nach Software und verwendeten Einstellungen erheblich schwanken. Für diese Berechnung wurde eine reine Zählung ohne Entfernung von Inhalten durchgeführt. Benutzen Sie diesen Wert eher als Anhaltspunkt für die Größenordnung denn als exakte Aussage und führen sie ggf. mit ihrer eigenen Software eine Kontroll-Rechnung durch.
version,Datum (ISO),(Nur CSV-Datei) Die Versionsnummer des Datensatzes im Format YYYY-MM-DD (Langform nach ISO-8601). Die Versionsnummer entspricht immer dem Datum an dem der Datensatz erstellt und die Daten von der Webseite des Gerichts abgerufen wurden.
doi\_concept,String,(Nur CSV-Datei) Der Digital Object Identifier (DOI) des Gesamtkonzeptes des Datensatzes. Dieser ist langzeit-stabil (persistent). Über diese DOI kann via www.doi.org immer die \textbf{aktuellste Version} des Datensatzes abgerufen werden. Prinzip F1 der FAIR-Data Prinzipien (\enquote{data are assigned globally unique and persistent identifiers}) empfiehlt die Dokumentation jeder Messung mit einem persistenten Identifikator. Selbst wenn die CSV-Dateien ohne Kontext weitergegeben werden kann ihre Herkunft so immer zweifelsfrei und maschinenlesbar bestimmt werden.
doi\_version,String,(Nur CSV-Datei) Der Digital Object Identifier (DOI) der \textbf{konkreten Version} des Datensatzes. Dieser ist langzeit-stabil (persistent). Über diese DOI kann via www.doi.org immer diese konkrete Version des Datensatzes abgerufen werden. Prinzip F1 der FAIR-Data Prinzipien (\enquote{data are assigned globally unique and persistent identifiers}) empfiehlt die Dokumentation jeder Messung mit einem persistenten Identifikator. Selbst wenn die CSV-Dateien ohne Kontext weitergegeben werden kann ihre Herkunft so immer zweifelsfrei und maschinenlesbar bestimmt werden.
lizenz,String,Die Lizenz für den Gesamtdatensatz. In diesem Datensatz immer \enquote{Creative Commons Zero 1.0 Universal}.
